func,start,end,is_cold,container_id,provider.request_id,request_id
map,1655122807.279754,1655122813.067168,True,6105d462,4e4a529d-9f4b-4e6d-8d7a-6e526b609f39,e2cd31c7
reduce,1655122819.767135,1655122825.203293,True,90fd7339,b644be1a-7e1b-4117-8643-406ec252c5a0,e2cd31c7
shuffle,1655122813.546154,1655122818.629509,True,8720872e,014b296d-b7d3-4154-acf0-0b03c129896d,e2cd31c7
reduce,1655122818.396691,1655122823.705562,True,f809aaa9,0e429d85-fa00-4b0b-9b7f-deca26a3ef94,c823a292
reduce,1655122818.347146,1655122824.007467,True,b3710fdb,98c0d66d-b9a9-451c-881c-6267a89c00b7,c823a292
map,1655122806.840022,1655122812.900881,True,c59f45a7,98dc0679-6bf3-4849-843f-776642259125,c823a292
map,1655122806.832164,1655122812.70276,True,ffaa3a51,11e06c51-1497-4a1e-90d7-892b4c1b4c2a,c823a292
shuffle,1655122813.259626,1655122817.795927,True,f8add277,ea40f88c-0142-4c44-8698-d6e01039cca3,c823a292
reduce,1655122818.308654,1655122823.878983,True,7b214117,84d8d541-32a9-451e-b52b-9ff1cad02b91,c823a292
reduce,1655122818.371702,1655122823.661788,True,f7d52489,995b6b7a-004c-4d7b-9eeb-57ba0e05fdc8,c823a292
reduce,1655122818.4039,1655122824.337825,True,ec3c13f6,98d3379a-ea85-4f0f-a228-a7d89498cc81,c823a292
map,1655122806.795739,1655122812.249879,True,6f3d7fb1,ddf76f75-77b8-4c2a-8ab2-3ecb25a78c2c,c823a292
split,1655122800.731111,1655122806.235047,True,b2a634d8,67748868-3e45-485c-ad34-cf3d410c7cd1,c823a292
reduce,1655122818.937515,1655122824.724155,True,b068d103,49576809-9605-43e0-869b-38c4311b7218,44e1b130
map,1655122806.979941,1655122812.483055,True,9011eb2f,e543ae9c-f152-43d2-afae-85996fe23a25,44e1b130
reduce,1655122818.97457,1655122824.505525,True,bb4bf413,9c95d934-d828-4fd0-ac24-64548728f361,44e1b130
reduce,1655122818.950711,1655122824.694138,True,67442d1e,1dd8e49a-f8f9-453e-bb11-c34f5fc0520c,44e1b130
